epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5791,1.10604,3.10465,1.51258,0.00333,1,0.13325,0.11746,1.26869,3.13548,1.69461,8e-05,8e-05,8e-05
2,25.5161,1.04725,2.50316,1.4186,0.00333,1,0.12662,0.11312,1.23269,2.92562,1.54703,0.000176436,0.000176436,0.000176436
3,35.7643,1.0471,2.13594,1.3966,0.00333,1,0.13305,0.12331,1.09051,2.83624,1.47353,0.000268912,0.000268912,0.000268912
4,45.2794,1.05157,2.02882,1.40466,0.00333,1,0.14237,0.13262,0.998,2.93366,1.37661,0.000357428,0.000357428,0.000357428
5,54.6825,1.04642,2.01528,1.38011,0.00333,1,0.14925,0.12645,1.28675,2.9349,1.53175,0.000441984,0.000441984,0.000441984
6,63.9953,1.04165,1.97865,1.35463,0.00333,1,0.18815,0.1414,1.42329,3.05961,1.63922,0.00052258,0.00052258,0.00052258
7,73.4312,0.92193,1.6863,1.28077,0.00333,1,0.20657,0.14242,1.26905,2.98698,1.5679,0.000599216,0.000599216,0.000599216
8,82.7911,0.9771,1.72858,1.30356,0.00333,1,0.23074,0.16321,1.38102,2.95123,1.64514,0.000671892,0.000671892,0.000671892
9,92.2692,0.97454,1.70845,1.26674,0.00333,1,0.1381,0.05848,1.84065,3.17839,1.89352,0.000740608,0.000740608,0.000740608
10,101.591,0.90869,1.60624,1.20168,0.00333,1,0.17491,0.09925,1.53448,2.93113,1.70542,0.000805364,0.000805364,0.000805364
11,111.623,0.9644,1.61736,1.24555,0.40566,0.18396,0.20327,0.1137,1.6455,2.8893,1.87157,0.00086616,0.00086616,0.00086616
12,121.379,0.98894,1.71177,1.26193,0.00289,0.86667,0.05589,0.02188,2.34936,3.45483,2.65392,0.000922996,0.000922996,0.000922996
13,130.835,0.92302,1.48024,1.19156,0.00311,0.93333,0.06207,0.02618,2.37731,3.48418,2.62477,0.000975872,0.000975872,0.000975872
14,140.344,0.97265,1.57041,1.24703,0.00311,0.93333,0.04059,0.01365,2.45004,3.53461,2.58206,0.00102479,0.00102479,0.00102479
15,149.926,0.89787,1.41613,1.19675,0.02687,0.8,0.05721,0.02177,2.21004,3.38219,2.33909,0.00106974,0.00106974,0.00106974
16,159.439,0.92417,1.53618,1.21541,0.03962,0.12665,0.08831,0.03359,2.00344,3.4771,2.13943,0.00111074,0.00111074,0.00111074
17,168.888,0.96133,1.45326,1.22302,1,0.13214,0.2366,0.20259,1.72001,2.58879,1.87374,0.00114778,0.00114778,0.00114778
18,178.473,0.93999,1.47766,1.23481,0.31907,0.26667,0.14737,0.09708,1.67936,2.91715,1.87548,0.00118085,0.00118085,0.00118085
19,187.741,0.95619,1.43733,1.2465,0.20765,0.2,0.11411,0.05474,1.96876,3.29205,2.13776,0.00120997,0.00120997,0.00120997
20,197.187,0.93005,1.36796,1.22875,0.22964,0.46667,0.22805,0.15001,1.40329,2.45603,1.69909,0.00123512,0.00123512,0.00123512
21,206.56,0.95819,1.35722,1.25281,0.2955,0.33333,0.23882,0.14599,1.31314,3.10906,1.72252,0.001208,0.001208,0.001208
22,215.751,1.04558,1.4822,1.27025,0.27963,0.66667,0.27682,0.1432,1.47114,3.88257,1.76391,0.0011684,0.0011684,0.0011684
23,225.016,0.98656,1.45992,1.25467,0.28754,0.66667,0.40266,0.21994,1.52762,3.08598,1.80255,0.0011288,0.0011288,0.0011288
24,234.229,0.86918,1.36482,1.16023,0.37706,0.46667,0.32734,0.16173,1.79431,3.4821,2.13355,0.0010892,0.0010892,0.0010892
25,243.474,0.90239,1.2558,1.19996,0.29502,0.46667,0.26324,0.10117,1.89583,4.09732,2.12983,0.0010496,0.0010496,0.0010496
26,252.886,0.94979,1.26975,1.20976,0.27665,0.33333,0.18445,0.10373,1.89478,3.90333,2.06333,0.00101,0.00101,0.00101
27,262.151,0.92104,1.29818,1.20133,0.22355,0.46667,0.18301,0.0885,1.72646,3.31471,2.02593,0.0009704,0.0009704,0.0009704
28,271.458,0.84621,1.18614,1.1515,0.06432,0.33333,0.06279,0.02454,2.08284,3.95998,2.28269,0.0009308,0.0009308,0.0009308
29,280.707,0.87971,1.22604,1.1638,0.05489,0.26667,0.0494,0.01572,2.38799,4.04556,2.50974,0.0008912,0.0008912,0.0008912
30,289.833,0.823,1.18779,1.09801,0.13062,0.46667,0.10525,0.03316,2.2066,3.5664,2.45015,0.0008516,0.0008516,0.0008516
31,299.38,0.82005,1.10987,1.13198,0.25032,0.6,0.23173,0.12321,1.51251,2.83765,1.84646,0.000812,0.000812,0.000812
32,308.738,0.88925,1.13742,1.16256,0.69577,0.66667,0.60333,0.40603,1.17674,1.82169,1.53212,0.0007724,0.0007724,0.0007724
33,318.05,0.8227,1.15844,1.114,0.76008,0.66667,0.62901,0.40064,1.24687,1.8788,1.58823,0.0007328,0.0007328,0.0007328
34,327.448,0.79841,1.05147,1.12142,0.55236,0.66667,0.55183,0.31362,1.32822,2.1581,1.67331,0.0006932,0.0006932,0.0006932
35,336.58,0.78714,0.99595,1.10626,0.55172,0.46667,0.41821,0.19271,1.76289,2.59562,1.97941,0.0006536,0.0006536,0.0006536
36,345.943,0.70183,0.88096,1.04014,0.77355,0.45651,0.41972,0.23673,2.15299,2.95235,2.43091,0.000614,0.000614,0.000614
37,355.622,0.78352,0.92024,1.07978,0.71791,0.53333,0.49084,0.25002,2.22405,3.26872,2.51005,0.0005744,0.0005744,0.0005744
38,366.287,0.73977,0.95202,1.04672,0.63751,0.53333,0.46544,0.25184,2.25858,3.46373,2.62344,0.0005348,0.0005348,0.0005348
39,376.56,0.73663,0.93931,1.08706,0.59844,0.53333,0.49314,0.29139,2.10291,3.47906,2.53722,0.0004952,0.0004952,0.0004952
40,386.031,0.70097,0.94451,1.03522,0.50284,0.53333,0.47064,0.29274,1.97714,2.6488,2.40215,0.0004556,0.0004556,0.0004556
41,395.372,0.59279,1.12811,0.94841,0.46889,0.5299,0.37989,0.23357,2.01207,2.49096,2.39378,0.000416,0.000416,0.000416
42,404.671,0.59834,1.09514,0.9854,0.43073,0.50535,0.28575,0.16595,2.07051,2.51638,2.39942,0.0003764,0.0003764,0.0003764
43,413.985,0.59133,1.04245,1.00462,0.36653,0.46667,0.2588,0.14104,1.92276,2.47549,2.24737,0.0003368,0.0003368,0.0003368
44,423.156,0.60107,1.04393,0.98155,0.32894,0.4,0.20286,0.12549,1.67598,2.5455,2.01701,0.0002972,0.0002972,0.0002972
45,432.415,0.54832,0.94849,0.95444,0.36301,0.4,0.21022,0.11037,1.62003,2.55392,1.9084,0.0002576,0.0002576,0.0002576
46,441.715,0.57828,0.94371,0.98559,0.39612,0.4,0.21384,0.1182,1.57035,2.53884,1.88763,0.000218,0.000218,0.000218
47,451.169,0.57755,0.93625,0.95372,0.34828,0.4,0.2109,0.12071,1.50664,2.49544,1.84643,0.0001784,0.0001784,0.0001784
48,460.474,0.51687,0.88005,0.93775,0.43247,0.46667,0.29512,0.16377,1.48458,2.3878,1.85308,0.0001388,0.0001388,0.0001388
49,469.713,0.55137,0.8702,0.91914,0.44731,0.46667,0.35264,0.18659,1.48643,2.32823,1.85652,9.92e-05,9.92e-05,9.92e-05
50,479.079,0.46565,0.81974,0.88562,0.4232,0.46667,0.35621,0.18222,1.49274,2.30905,1.84847,5.96e-05,5.96e-05,5.96e-05
